transaction_id,customer_id,transaction_date,product_category,quantity,unit_price,channel,is_churned,total_amount
TXN_00000000,CUST_00579,2024-04-27,Floral Blend,2,85.33,Online Store,0,170.66
TXN_00000001,CUST_00725,2025-05-02,Oolong Tea,3,43.6,Funan Mall Outlet,0,130.8
TXN_00000002,CUST_00217,2025-12-05,Green Tea,4,88.71,Funan Mall Outlet,1,354.84
TXN_00000003,CUST_00176,2024-02-18,Black Tea,2,29.2,Online Store,0,58.4
TXN_00000004,CUST_00298,2024-05-27,Green Tea,2,39.29,Online Store,0,78.58
TXN_00000005,CUST_00675,2025-05-21,Premium Pu-erh,2,23.57,Funan Mall Outlet,0,47.14
TXN_00000006,CUST_00057,2024-11-19,Black Tea,3,65.85,Funan Mall Outlet,1,197.54999999999998
TXN_00000007,CUST_00268,2024-08-15,Black Tea,3,47.79,Online Store,0,143.37
TXN_00000008,CUST_00307,2024-03-28,Premium Pu-erh,3,65.2,Online Store,0,195.60000000000002
TXN_00000009,CUST_00569,2024-07-29,Floral Blend,1,78.55,Online Store,1,78.55
TXN_00000010,CUST_00287,2024-11-29,Black Tea,4,59.11,Online Store,0,236.44
TXN_00000011,CUST_00976,2024-03-28,Green Tea,1,66.49,Online Store,0,66.49
TXN_00000012,CUST_00104,2024-08-13,Oolong Tea,3,94.17,Funan Mall Outlet,0,282.51
TXN_00000013,CUST_00227,2024-10-14,Green Tea,4,36.92,Online Store,0,147.68
TXN_00000014,CUST_00246,2024-08-08,Floral Blend,1,42.32,Funan Mall Outlet,0,42.32
TXN_00000015,CUST_00699,2024-01-05,Oolong Tea,1,74.59,Funan Mall Outlet,0,74.59
TXN_00000016,CUST_00493,2024-11-27,Green Tea,1,65.02,Funan Mall Outlet,0,65.02
TXN_00000017,CUST_00082,2024-05-30,Green Tea,3,26.07,Online Store,1,78.21000000000001
TXN_00000018,CUST_00185,2025-11-11,Premium Pu-erh,2,43.85,Online Store,0,87.7
TXN_00000019,CUST_00251,2025-10-25,Floral Blend,4,52.11,Funan Mall Outlet,0,208.44
TXN_00000020,CUST_00354,2024-12-19,Premium Pu-erh,3,47.75,Funan Mall Outlet,1,143.25
TXN_00000021,CUST_00749,2023-12-29,Oolong Tea,4,26.04,Funan Mall Outlet,0,104.16
TXN_00000022,CUST_00871,2024-04-13,Premium Pu-erh,3,93.2,Online Store,0,279.6
TXN_00000023,CUST_00695,2024-09-10,Floral Blend,1,78.61,Online Store,0,78.61
TXN_00000024,CUST_00795,2024-12-29,Black Tea,1,53.32,Funan Mall Outlet,0,53.32
TXN_00000025,CUST_00896,2025-02-27,Black Tea,2,71.21,Online Store,0,142.42
TXN_00000026,CUST_00937,2024-05-16,Oolong Tea,2,90.76,Online Store,0,181.52
TXN_00000027,CUST_00209,2024-08-11,Black Tea,4,22.26,Online Store,0,89.04
TXN_00000028,CUST_00815,2025-01-22,Premium Pu-erh,2,32.53,Online Store,0,65.06
TXN_00000029,CUST_00807,2024-02-28,Oolong Tea,2,58.84,Online Store,0,117.68
TXN_00000030,CUST_00608,2023-12-21,Floral Blend,4,81.91,Online Store,0,327.64
TXN_00000031,CUST_00446,2024-02-20,Oolong Tea,3,13.26,Online Store,0,39.78
TXN_00000032,CUST_00459,2024-02-21,Oolong Tea,2,98.56,Funan Mall Outlet,1,197.12
TXN_00000033,CUST_00967,2024-11-16,Green Tea,3,50.94,Online Store,0,152.82
TXN_00000034,CUST_00471,2024-06-08,Green Tea,1,42.33,Online Store,1,42.33
TXN_00000035,CUST_00719,2024-02-20,Oolong Tea,2,36.35,Funan Mall Outlet,0,72.7
TXN_00000036,CUST_00369,2025-10-07,Black Tea,1,25.69,Online Store,0,25.69
TXN_00000037,CUST_00899,2024-10-20,Green Tea,1,81.24,Online Store,0,81.24
TXN_00000038,CUST_00933,2025-12-10,Floral Blend,3,95.99,Funan Mall Outlet,0,287.96999999999997
TXN_00000039,CUST_00491,2024-11-12,Premium Pu-erh,4,47.23,Funan Mall Outlet,0,188.92
TXN_00000040,CUST_00922,2024-08-10,Green Tea,2,95.72,Online Store,1,191.44
TXN_00000041,CUST_00136,2024-08-18,Oolong Tea,3,84.14,Online Store,0,252.42000000000002
TXN_00000042,CUST_00366,2025-09-17,Black Tea,4,53.29,Funan Mall Outlet,0,213.16
TXN_00000043,CUST_00911,2025-05-25,Premium Pu-erh,1,70.66,Online Store,0,70.66
TXN_00000044,CUST_00183,2024-09-15,Green Tea,2,49.15,Funan Mall Outlet,0,98.3
TXN_00000045,CUST_00587,2025-05-04,Black Tea,1,60.29,Funan Mall Outlet,0,60.29
TXN_00000046,CUST_00286,2024-02-17,Black Tea,1,15.22,Funan Mall Outlet,0,15.22
TXN_00000047,CUST_00471,2024-12-26,Black Tea,2,72.66,Online Store,0,145.32
TXN_00000048,CUST_00374,2025-04-10,Oolong Tea,4,14.75,Online Store,0,59.0
TXN_00000049,CUST_00653,2024-08-30,Floral Blend,4,83.54,Funan Mall Outlet,1,334.16
TXN_00000050,CUST_00748,2025-02-09,Black Tea,2,84.25,Online Store,0,168.5
TXN_00000051,CUST_00536,2024-06-28,Premium Pu-erh,2,31.34,Online Store,0,62.68
TXN_00000052,CUST_00510,2025-04-13,Green Tea,3,39.13,Funan Mall Outlet,0,117.39000000000001
TXN_00000053,CUST_00801,2025-05-14,Premium Pu-erh,3,53.32,Online Store,0,159.96
TXN_00000054,CUST_00578,2024-11-07,Oolong Tea,1,63.7,Online Store,0,63.7
TXN_00000055,CUST_00249,2025-07-21,Oolong Tea,2,35.86,Funan Mall Outlet,0,71.72
TXN_00000056,CUST_00919,2025-10-22,Premium Pu-erh,4,63.32,Online Store,0,253.28
TXN_00000057,CUST_00509,2024-05-04,Floral Blend,1,36.8,Online Store,0,36.8
TXN_00000058,CUST_00629,2024-07-10,Oolong Tea,1,14.99,Online Store,0,14.99
TXN_00000059,CUST_00072,2025-01-08,Oolong Tea,1,10.23,Funan Mall Outlet,0,10.23
TXN_00000060,CUST_00281,2025-08-08,Premium Pu-erh,1,19.1,Online Store,0,19.1
TXN_00000061,CUST_00915,2024-07-25,Oolong Tea,4,81.3,Online Store,0,325.2
TXN_00000062,CUST_00959,2025-02-18,Floral Blend,1,96.53,Funan Mall Outlet,0,96.53
TXN_00000063,CUST_00359,2024-11-01,Floral Blend,2,48.43,Funan Mall Outlet,0,96.86
TXN_00000064,CUST_00009,2025-09-12,Floral Blend,3,56.14,Online Store,1,168.42000000000002
TXN_00000065,CUST_00210,2024-08-06,Green Tea,4,23.22,Funan Mall Outlet,0,92.88
TXN_00000066,CUST_00834,2025-05-21,Floral Blend,2,59.59,Online Store,0,119.18
TXN_00000067,CUST_00151,2025-04-03,Floral Blend,2,23.02,Funan Mall Outlet,0,46.04
TXN_00000068,CUST_00004,2024-05-02,Green Tea,2,65.01,Online Store,0,130.02
TXN_00000069,CUST_00194,2025-09-04,Black Tea,3,93.99,Online Store,0,281.96999999999997
TXN_00000070,CUST_00953,2024-10-20,Oolong Tea,3,27.61,Funan Mall Outlet,1,82.83
TXN_00000071,CUST_00282,2024-06-01,Floral Blend,3,78.81,Online Store,0,236.43
TXN_00000072,CUST_00463,2025-07-02,Oolong Tea,2,12.12,Online Store,0,24.24
TXN_00000073,CUST_00112,2025-04-08,Premium Pu-erh,3,43.79,Online Store,0,131.37
TXN_00000074,CUST_00270,2025-10-13,Oolong Tea,1,19.97,Funan Mall Outlet,0,19.97
TXN_00000075,CUST_00162,2024-05-19,Green Tea,3,41.72,Online Store,0,125.16
TXN_00000076,CUST_00459,2025-05-26,Oolong Tea,4,25.62,Online Store,0,102.48
TXN_00000077,CUST_00104,2025-10-19,Oolong Tea,2,43.6,Online Store,0,87.2
TXN_00000078,CUST_00692,2024-02-19,Oolong Tea,2,47.58,Online Store,0,95.16
TXN_00000079,CUST_00555,2025-09-01,Black Tea,1,37.05,Online Store,0,37.05
TXN_00000080,CUST_00281,2024-06-16,Black Tea,3,69.1,Online Store,0,207.29999999999998
TXN_00000081,CUST_00686,2024-07-26,Premium Pu-erh,3,92.7,Online Store,0,278.1
TXN_00000082,CUST_00161,2025-04-27,Green Tea,4,46.05,Online Store,0,184.2
TXN_00000083,CUST_00982,2024-09-23,Oolong Tea,1,27.31,Funan Mall Outlet,0,27.31
TXN_00000084,CUST_00350,2024-03-03,Oolong Tea,4,34.37,Funan Mall Outlet,0,137.48
TXN_00000085,CUST_00433,2024-05-02,Oolong Tea,4,86.86,Funan Mall Outlet,1,347.44
TXN_00000086,CUST_00851,2024-12-03,Oolong Tea,2,61.45,Online Store,0,122.9
TXN_00000087,CUST_00139,2024-02-15,Black Tea,2,50.95,Funan Mall Outlet,0,101.9
TXN_00000088,CUST_00470,2023-12-19,Premium Pu-erh,3,23.47,Online Store,0,70.41
TXN_00000089,CUST_00131,2024-06-19,Floral Blend,3,50.48,Funan Mall Outlet,0,151.44
TXN_00000090,CUST_00086,2024-08-02,Green Tea,4,35.06,Online Store,0,140.24
TXN_00000091,CUST_00687,2025-04-22,Oolong Tea,3,94.88,Online Store,0,284.64
TXN_00000092,CUST_00182,2025-04-24,Premium Pu-erh,4,89.57,Online Store,0,358.28
TXN_00000093,CUST_00367,2024-11-01,Floral Blend,3,17.55,Online Store,0,52.650000000000006
TXN_00000094,CUST_00128,2023-12-16,Premium Pu-erh,3,56.5,Funan Mall Outlet,0,169.5
TXN_00000095,CUST_00245,2024-05-07,Black Tea,2,30.26,Funan Mall Outlet,0,60.52
TXN_00000096,CUST_00600,2024-07-27,Floral Blend,2,46.97,Funan Mall Outlet,0,93.94
TXN_00000097,CUST_00577,2024-08-31,Premium Pu-erh,2,88.92,Funan Mall Outlet,0,177.84
TXN_00000098,CUST_00669,2024-07-05,Black Tea,2,57.48,Online Store,0,114.96
TXN_00000099,CUST_00898,2025-09-15,Premium Pu-erh,1,40.08,Online Store,0,40.08
TXN_00000100,CUST_00377,2025-01-22,Premium Pu-erh,2,28.71,Funan Mall Outlet,0,57.42
TXN_00000101,CUST_00148,2024-02-12,Floral Blend,1,82.03,Online Store,0,82.03
TXN_00000102,CUST_00984,2025-02-13,Black Tea,2,66.21,Funan Mall Outlet,0,132.42
